,   DAY,  ELEV. (FT),  STORAGE (AC-FT), RESERVOIR EVAP. (CFS),RIVER GAGE BELOW DAM (CFS),ROCKY FORK CREEK (CFS),TOTAL RESERVOIR RELEASE (CFS), COMPUTED INFLOW (CFS),CALLED OUT? (Y= YES) (N= NO) ,EVAP ACCOUNTED AGAINST FILL ,MIN FLOW BELOW RUEDI GAGE (CFS),REQUIRED TO MEET THE  MIN FLOW (CFS),BOUSTEAD TUNNEL DIVERSIONS (CFS),BOUSTEAD TUNNEL DIVERSIONS (AC-FT),BOUSTEAD REPLACEMENT RELEASE (CFS),BOUSTEAD REPLACEMENT RELEASE (AC-FT),REGULAR CONTRACT RELEASE (CFS),REGULAR CONTRACT RELEASE (AC-FT),CONTRACT REL FOR WOLFORD EXCH (CFS),ADDL CONT REL FOR WOLFORD EXCH (AC-FT),TOTAL CONTRACT RELEASE (CFS),TOTAL CONTRACT RELEASE (AC-FT),ENDANGERED FISH RELEASE (CFS),CUMULATIVE FISH RELEASE (AC-FT),REMAINING AMT AVAIL TO FISH (AC-FT),TOTAL REQUIRED RELEASE (CFS),DISCRE- TIONARY RELEASE (CFS),RELEASE THROUGH PP (CFS),POWER PLANT BYPASS (CFS),FLOWS IN FRYINGPAN >250 CFS (CFS),DAILY OWED TO RIVER ACCOUNT (CFS),OWED TO RIVER ACCOUNT (CFS),OWED TO RIVER ACCOUNT (AC-FT), STORABLE INFLOW (AC-FT),CUMULATIVE STORABLE  INFLOW (AC-FT),DAILY FIRST FILL (AC-FT),CUMULATIVE FIRST FILL (AC-FT),DAILY REFILL RIGHT (AC-FT),CUMULATIVE REFILL RIGHT (AC-FT), PALISADE GAGE (CFS),   ,Other   (CFS),& Wolford  Exchange (CFS),ADDL CONT REL FOR WOLFORD EXCH and CO Water Trust (AC-FT),TOTAL TUNNEL DIVERSIONS (CFS),FRYINGPAN TUNNEL DIVERSIONS (CFS),BOUSTEAD FRYINGPAN DIVERSIONS (AC-FT),ADDITIONAL CONTRACT RELEASE (CFS),ADDL CONT REL FOR VARIOUS (AC-FT)
2005-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-02,SAT,7722.278594864865,64523.1602,0,76.953,2.134,74.819,41.15653466095178,N,0,39,36.866,2.4879,10.32391915,0,0,0,0,0,0,0,0,0,0,20825,36.866,37.953,74.819,0,0,0,0,0,8.510275499997851,64694.5102755,8.510275499997851,64694.5102755,0,0,1716.366,,,,,,,,,
2005-04-03,SUN,7722.208878783784,64471.5703,0,78.406,2.4503,75.95570000000001,49.94617138895941,N,0,39,36.5497,2.4879,15.258668799999999,0,0,0,0,0,0,0,0,0,0,20825,36.5497,39.406000000000006,75.95570000000001,0,0,0,0,0,26.57190100000098,64721.0821765,26.57190100000098,64721.0821765,0,0,1729.6456,,,,,,,,,
2005-04-04,MON,7722.1489443243245,64427.2188,0,77.5866,2.6992,74.8874,52.52717816990318,N,0,39,36.3008,2.4879,20.19341845,0,0,0,0,0,0,0,0,0,0,20825,36.3008,38.5866,74.8874,0,0,0,0,0,32.185021100002956,64753.267197600006,32.185021100002956,64753.267197600006,0,0,1526.0536,,,,,,,,,
2005-04-05,TUE,7722.10900027027,64397.6602,0,77.1288,2.7108,74.41799999999999,59.51575649104918,N,0,39,36.2892,2.2865,24.7286912,0,0,0,0,0,0,0,0,0,0,20825,36.2892,38.12879999999999,74.41799999999999,0,0,0,0,0,46.06987479999605,64799.337072400005,46.06987479999605,64799.337072400005,0,0,1351.2808,,,,,,,,,
2005-04-06,WED,7722.059338108108,64360.9102,0,76.505,2.5592,73.94579999999999,55.417945197882524,N,0,39,36.4408,2.2097,29.11163115,0,0,0,0,0,0,0,0,0,0,20825,36.4408,37.505,73.94579999999999,0,0,1.4210854715202004e-14,1.4210854715202004e-14,2.8187230327603175e-14,37.64116749999998,64836.9782399,37.64116749999998,64836.9782399,0,0,1258.517,,,,,,,,,
2005-04-07,THU,7722.049107837838,64353.3398,0,78.1405,3.0002,75.1403,71.3236123266968,N,0,39,35.9998,2.2097,33.4945711,0,0,0,0,0,0,0,0,0,0,20825,35.9998,39.140499999999996,75.1403,0,0,0,1.4210854715202004e-14,2.8187230327603175e-14,70.0647817500031,64907.04302165001,70.0647817500031,64907.04302165001,0,0,1212.0039,,,,,,,,,
2005-04-08,FRI,7722.079296891892,64375.6797,0,79.4825,3.3717,76.1108,87.37366866649812,N,0,39,35.6283,2.2097,37.87751105,0,0,0,0,0,0,0,0,0,0,20825,35.6283,40.4825,76.1108,0,0,7.105427357601002e-15,2.1316282072803006e-14,4.228084549140476e-14,102.63693874999902,65009.67996040001,102.63693874999902,65009.67996040001,0,0,1456.7964,,,,,,,,,
2005-04-09,SAT,7722.079296891892,64375.6797,0,79.2531,3.2456,76.00750000000001,76.00750000000001,N,0,39,35.7544,2.2097,42.260451,0,0,0,0,0,0,0,0,0,0,20825,35.7544,40.25310000000001,76.0075,1.4210854715202004e-14,0,0,2.1316282072803006e-14,4.228084549140476e-14,79.84202385000002,65089.52198425001,79.84202385000002,65089.52198425001,0,0,1779.5145,,,,,,,,,
2005-04-10,SUN,7722.089041351352,64382.8906,0,78.0789,3.1322,74.9467,78.58214239979745,N,0,39,35.8678,2.2097,46.643390950000004,0,0,0,0,0,0,0,0,0,0,20825,35.8678,39.078900000000004,74.9467,0,0,0,2.1316282072803006e-14,4.228084549140476e-14,84.72389814999823,65174.245882400006,84.72389814999823,65174.245882400006,0,0,1833.1826,,,,,,,,,
