Analysis Date,Analysis WDID,Structure Name,Priority Admin No,Percent Out of Priority,Location WDID,Location Structure Name,Priority Admin No,Call Set Date
1/1/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/2/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/3/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/4/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/5/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/6/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/7/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/8/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/9/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/10/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/11/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/12/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/13/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/14/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/15/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/16/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/17/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/18/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/19/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/20/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/21/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/22/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/23/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/24/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/25/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/26/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/27/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/28/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/29/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/30/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
1/31/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/1/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/2/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/3/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/4/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/5/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/6/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/7/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/8/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/9/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/10/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
2/11/1983,3803713,RUEDI RESERVOIR,39291,0,,,,
