Date,Priority,Location,LocationName,Number,CallDate,Flow,FlowDate
1/1/1983,0,,,,,100,1/1/1983
1/2/1983,0,,,,,100,1/2/1983
1/3/1983,0,,,,,110,1/3/1983
1/4/1983,0,,,,,110,1/4/1983
1/5/1983,0,,,,,110,1/5/1983
1/6/1983,0,,,,,112,1/6/1983
1/7/1983,0,,,,,120,1/7/1983
1/8/1983,0,,,,,112,1/8/1983
1/9/1983,0,,,,,110,1/9/1983
1/10/1983,0,,,,,108,1/10/1983
1/11/1983,0,,,,,100,1/11/1983
1/12/1983,0,,,,,100,1/12/1983
1/13/1983,0,,,,,100,1/13/1983
1/14/1983,0,,,,,100,1/14/1983
1/15/1983,0,,,,,100,1/15/1983
1/16/1983,0,,,,,108,1/16/1983
1/17/1983,0,,,,,118,1/17/1983
1/18/1983,0,,,,,120,1/18/1983
1/19/1983,0,,,,,117,1/19/1983
1/20/1983,0,,,,,117,1/20/1983
1/21/1983,0,,,,,114,1/21/1983
1/22/1983,0,,,,,96,1/22/1983
1/23/1983,0,,,,,94,1/23/1983
1/24/1983,0,,,,,101,1/24/1983
1/25/1983,0,,,,,119,1/25/1983
1/26/1983,0,,,,,118,1/26/1983
1/27/1983,0,,,,,117,1/27/1983
1/28/1983,0,,,,,120,1/28/1983
1/29/1983,0,,,,,119,1/29/1983
1/30/1983,0,,,,,118,1/30/1983
1/31/1983,0,,,,,116,1/31/1983
2/1/1983,0,,,,,116,2/1/1983
2/2/1983,0,,,,,114,2/2/1983
2/3/1983,0,,,,,107,2/3/1983
2/4/1983,0,,,,,115,2/4/1983
2/5/1983,0,,,,,118,2/5/1983
2/6/1983,0,,,,,115,2/6/1983
2/7/1983,0,,,,,115,2/7/1983
2/8/1983,0,,,,,117,2/8/1983
2/9/1983,0,,,,,123,2/9/1983
2/10/1983,0,,,,,120,2/10/1983
2/11/1983,0,,,,,109,2/11/1983
2/12/1983,0,,,,,89,2/12/1983
2/13/1983,0,,,,,93,2/13/1983
2/14/1983,0,,,,,94,2/14/1983
2/15/1983,0,,,,,92,2/15/1983
2/16/1983,0,,,,,94,2/16/1983
2/17/1983,0,,,,,92,2/17/1983
2/18/1983,0,,,,,90,2/18/1983
2/19/1983,0,,,,,100,2/19/1983
2/20/1983,0,,,,,95,2/20/1983
2/21/1983,0,,,,,93,2/21/1983
2/22/1983,0,,,,,100,2/22/1983
2/23/1983,0,,,,,104,2/23/1983
2/24/1983,0,,,,,108,2/24/1983
2/25/1983,0,,,,,120,2/25/1983
2/26/1983,0,,,,,112,2/26/1983
2/27/1983,0,,,,,105,2/27/1983
2/28/1983,0,,,,,121,2/28/1983
3/1/1983,0,,,,,147,3/1/1983
3/2/1983,0,,,,,161,3/2/1983
3/3/1983,0,,,,,141,3/3/1983
3/4/1983,0,,,,,133,3/4/1983
3/5/1983,0,,,,,181,3/5/1983
3/6/1983,0,,,,,136,3/6/1983
3/7/1983,0,,,,,121,3/7/1983
3/8/1983,0,,,,,126,3/8/1983
3/9/1983,0,,,,,126,3/9/1983
3/10/1983,0,,,,,136,3/10/1983
3/11/1983,0,,,,,147,3/11/1983
3/12/1983,0,,,,,153,3/12/1983
3/13/1983,0,,,,,154,3/13/1983
3/14/1983,0,,,,,262,3/14/1983
3/15/1983,0,,,,,247,3/15/1983
3/16/1983,0,,,,,171,3/16/1983
3/17/1983,0,,,,,166,3/17/1983
3/18/1983,0,,,,,157,3/18/1983
3/19/1983,0,,,,,153,3/19/1983
3/20/1983,0,,,,,142,3/20/1983
3/21/1983,0,,,,,121,3/21/1983
3/22/1983,0,,,,,126,3/22/1983
3/23/1983,0,,,,,125,3/23/1983
3/24/1983,0,,,,,126,3/24/1983
3/25/1983,0,,,,,131,3/25/1983
3/26/1983,0,,,,,122,3/26/1983
3/27/1983,0,,,,,116,3/27/1983
3/28/1983,0,,,,,118,3/28/1983
3/29/1983,0,,,,,118,3/29/1983
3/30/1983,0,,,,,112,3/30/1983
3/31/1983,0,,,,,122,3/31/1983
4/1/1983,0,,,,,123,4/1/1983
4/2/1983,0,,,,,115,4/2/1983
4/3/1983,0,,,,,125,4/3/1983
4/4/1983,0,,,,,123,4/4/1983
4/5/1983,0,,,,,113,4/5/1983
4/6/1983,0,,,,,119,4/6/1983
4/7/1983,0,,,,,127,4/7/1983
4/8/1983,0,,,,,129,4/8/1983
4/9/1983,0,,,,,134,4/9/1983
4/10/1983,0,,,,,130,4/10/1983
4/11/1983,0,,,,,140,4/11/1983
4/12/1983,0,,,,,142,4/12/1983
4/13/1983,0,,,,,127,4/13/1983
4/14/1983,0,,,,,104,4/14/1983
4/15/1983,0,,,,,102,4/15/1983
