Date,Priority,Location,LocationName,Number,CallDate,Flow,FlowDate,Month
1/31/1983,31,0,0,0,0,31,31,31
2/28/1983,28,0,0,0,0,28,28,28
3/31/1983,31,0,0,0,0,31,31,31
4/30/1983,30,0,0,0,0,30,30,30
5/31/1983,31,0,0,0,0,31,31,31
6/30/1983,30,0,0,0,0,30,30,30
7/31/1983,31,0,0,0,0,31,31,31
8/31/1983,31,0,0,0,0,31,31,31
9/30/1983,30,0,0,0,0,30,30,30
10/31/1983,31,0,0,0,0,4,31,31
11/30/1983,30,0,0,0,0,0,30,30
12/31/1983,31,0,0,0,0,0,31,31
1/31/1984,31,0,0,0,0,0,31,31
2/29/1984,29,0,0,0,0,0,29,29
3/31/1984,31,0,0,0,0,0,31,31
4/30/1984,30,0,0,0,0,0,30,30
5/31/1984,31,0,0,0,0,0,31,31
6/30/1984,30,0,0,0,0,0,30,30
7/31/1984,31,0,0,0,0,0,31,31
8/31/1984,31,0,0,0,0,0,31,31
9/30/1984,30,0,0,0,0,0,30,30
10/31/1984,31,0,0,0,0,0,31,31
11/30/1984,30,0,0,0,0,0,30,30
12/31/1984,31,0,0,0,0,0,31,31
1/31/1985,31,0,0,0,0,0,31,31
2/28/1985,28,0,0,0,0,0,28,28
3/31/1985,31,0,0,0,0,0,31,31
4/30/1985,30,0,0,0,0,0,30,30
5/31/1985,31,0,0,0,0,0,31,31
6/30/1985,30,0,0,0,0,0,30,30
7/31/1985,31,0,0,0,0,0,31,31
8/31/1985,31,0,0,0,0,0,31,31
9/30/1985,30,0,0,0,0,0,30,30
10/31/1985,31,0,0,0,0,31,31,31
11/30/1985,30,0,0,0,0,30,30,30
12/31/1985,31,0,0,0,0,31,31,31
1/31/1986,31,0,0,0,0,31,31,31
2/28/1986,28,0,0,0,0,28,28,28
3/31/1986,31,0,0,0,0,31,31,31
4/30/1986,30,0,0,0,0,30,30,30
5/31/1986,31,0,0,0,0,31,31,31
6/30/1986,30,0,0,0,0,30,30,30
7/31/1986,31,0,0,0,0,31,31,31
8/31/1986,31,0,0,0,0,31,31,31
9/30/1986,30,0,0,0,0,30,30,30
10/31/1986,31,0,0,0,0,31,31,31
11/30/1986,30,0,0,0,0,30,30,30
12/31/1986,31,0,0,0,0,31,31,31
1/31/1987,31,0,0,0,0,31,31,31
2/28/1987,28,0,0,0,0,28,28,28
3/31/1987,31,0,0,0,0,31,31,31
4/30/1987,30,0,0,0,0,30,30,30
5/31/1987,31,0,0,0,0,31,31,31
6/30/1987,30,0,0,0,0,30,30,30
