Date,Flow,CameoCall
1/31/1983,35547,0
2/28/1983,31211,0
3/31/1983,41468,0
4/30/1983,47563,0
5/31/1983,285417,0
6/30/1983,814860,0
7/31/1983,572897,0
8/31/1983,255425,0
9/30/1983,80778,0
10/31/1983,71341,0
11/30/1983,56125,0
12/31/1983,54814,0
1/31/1984,47176,0
2/29/1984,54693,0
3/31/1984,65899,0
4/30/1984,80500,0
5/31/1984,662897,0
6/30/1984,840692,0
7/31/1984,539555,0
8/31/1984,204638,0
9/30/1984,130669,0
10/31/1984,114598,0
11/30/1984,85556,0
12/31/1984,73942,0
1/31/1985,58015,0
2/28/1985,49592,0
3/31/1985,67001,0
4/30/1985,198184,0
5/31/1985,591890,0
6/30/1985,654870,0
7/31/1985,271956,0
8/31/1985,136919,0
9/30/1985,80230,0
10/31/1985,100585,0
11/30/1985,75188,0
12/31/1985,58997,0
1/31/1986,61390,0
2/28/1986,61801,0
3/31/1986,80411,0
4/30/1986,213377,0
5/31/1986,389742,0
6/30/1986,558660,0
7/31/1986,311622,0
8/31/1986,143722,0
9/30/1986,100724,0
10/31/1986,97227,0
11/30/1986,69725,0
12/31/1986,66609,0
1/31/1987,54654,0
2/28/1987,50485,0
3/31/1987,65807,0
4/30/1987,115462,0
5/31/1987,301997,0
6/30/1987,333668,0
7/31/1987,132367,0
8/31/1987,99178,3
9/30/1987,72229,20
10/31/1987,55332,23
11/30/1987,48994,0
12/31/1987,45021,0
1/31/1988,37416,0
2/29/1988,28534,0
3/31/1988,36268,0
4/30/1988,58305,0
5/31/1988,179358,0
6/30/1988,308571,0
7/31/1988,104675,13
8/31/1988,61821,31
9/30/1988,46793,30
10/31/1988,50895,21
11/30/1988,39034,0
12/31/1988,35555,0
1/31/1989,36036,0
2/28/1989,31325,0
3/31/1989,43541,0
4/30/1989,81911,0
5/31/1989,189307,0
6/30/1989,247364,0
7/31/1989,132586,13
8/31/1989,77706,31
9/30/1989,45278,30
10/31/1989,34981,31
11/30/1989,35703,0
12/31/1989,32591,0
1/31/1990,25348,0
2/28/1990,26873,0
3/31/1990,28122,0
4/30/1990,33713,0
5/31/1990,107403,0
6/30/1990,322734,0
7/31/1990,136053,2
8/31/1990,53317,31
9/30/1990,40045,30
10/31/1990,38236,22
11/30/1990,29566,0
12/31/1990,25937,0
1/31/1991,31000,0
2/28/1991,25439,0
3/31/1991,31286,0
4/30/1991,41617,0
5/31/1991,218467,0
6/30/1991,406921,0
7/31/1991,188333,0
8/31/1991,91680,0
9/30/1991,66752,13
10/31/1991,45022,25
11/30/1991,45904,0
12/31/1991,38226,0
1/31/1992,25534,0
2/29/1992,24239,0
3/31/1992,31706,0
4/30/1992,69230,0
5/31/1992,236293,0
6/30/1992,227179,0
7/31/1992,137804,2
8/31/1992,80381,31
9/30/1992,60844,30
10/31/1992,47058,26
11/30/1992,51972,0
12/31/1992,36927,0
1/31/1993,34774,0
2/28/1993,32144,0
3/31/1993,46880,0
4/30/1993,77572,0
5/31/1993,497834,0
6/30/1993,569828,0
7/31/1993,330098,0
8/31/1993,119586,0
9/30/1993,83028,0
10/31/1993,68317,0
11/30/1993,56823,0
12/31/1993,44560,0
1/31/1994,41782,0
2/28/1994,32963,0
3/31/1994,44648,0
4/30/1994,75172,0
5/31/1994,245951,0
6/30/1994,325766,0
7/31/1994,107818,17
8/31/1994,80357,31
9/30/1994,59845,30
10/31/1994,48092,0
11/30/1994,44735,0
12/31/1994,47611,0
1/31/1995,47311,0
2/28/1995,46436,0
3/31/1995,66594,0
4/30/1995,68892,0
5/31/1995,196316,0
6/30/1995,731129,0
7/31/1995,651887,0
8/31/1995,244000,0
9/30/1995,122977,0
10/31/1995,90157,0
11/30/1995,64923,0
12/31/1995,57864,0
1/31/1996,44959,0
2/29/1996,56236,0
3/31/1996,47632,0
4/30/1996,99544,0
5/31/1996,383438,0
6/30/1996,475670,0
7/31/1996,193131,0
8/31/1996,82587,19
9/30/1996,63944,18
10/31/1996,66309,0
11/30/1996,62651,0
12/31/1996,51095,0
1/31/1997,45983,0
2/28/1997,41229,0
3/31/1997,71962,0
4/30/1997,113607,0
5/31/1997,443192,0
6/30/1997,647230,0
7/31/1997,265847,0
8/31/1997,164065,0
9/30/1997,112245,0
10/31/1997,101110,0
11/30/1997,67602,0
12/31/1997,59765,0
1/31/1998,51258,0
2/28/1998,51631,0
3/31/1998,64190,0
4/30/1998,105608,0
5/31/1998,412515,0
6/30/1998,393263,0
7/31/1998,263487,0
8/31/1998,113465,0
9/30/1998,69249,0
10/31/1998,60801,0
11/30/1998,60555,0
12/31/1998,47615,0
1/31/1999,46049,0
2/28/1999,43381,0
3/31/1999,51286,0
4/30/1999,50927,0
5/31/1999,197953,0
6/30/1999,453143,0
7/31/1999,192835,0
8/31/1999,98691,0
9/30/1999,73290,0
10/31/1999,53470,0
11/30/1999,47929,0
12/31/1999,43274,0
1/31/2000,46414,0
2/29/2000,42369,0
3/31/2000,50318,0
4/30/2000,92146,0
5/31/2000,293546,0
6/30/2000,286000,0
7/31/2000,109907,3
8/31/2000,69858,28
9/30/2000,65791,16
10/31/2000,59573,14
11/30/2000,55233,0
12/31/2000,49019,0
1/31/2001,40391,0
2/28/2001,29059,0
3/31/2001,34883,0
4/30/2001,65227,3
5/31/2001,260016,0
6/30/2001,260949,0
7/31/2001,127000,0
8/31/2001,100553,4
9/30/2001,62238,23
10/31/2001,56991,16
11/30/2001,52879,0
12/31/2001,41420,0
1/31/2002,38003,0
2/28/2002,30105,0
3/31/2002,37783,0
4/30/2002,70565,5
5/31/2002,123180,7
6/30/2002,129371,7
7/31/2002,66933,31
8/31/2002,44929,31
9/30/2002,35553,30
10/31/2002,33248,4
11/30/2002,36636,0
12/31/2002,31583,0
1/31/2003,28604,0
2/28/2003,22435,0
3/31/2003,24469,0
4/30/2003,52219,0
5/31/2003,260035,0
6/30/2003,364514,0
7/31/2003,130346,1
8/31/2003,77668,19
9/30/2003,63236,15
10/31/2003,50296,31
11/30/2003,43387,4
12/31/2003,37905,0
1/31/2004,31522,0
2/29/2004,26705,0
3/31/2004,47336,0
4/30/2004,73363,3
5/31/2004,198689,1
