Date,Flow,Flag
1/1/1983,100,A
1/2/1983,100,A
1/3/1983,110,A
1/4/1983,110,A
1/5/1983,110,A
1/6/1983,112,A
1/7/1983,120,A
1/8/1983,112,A
1/9/1983,110,A
1/10/1983,108,A
1/11/1983,100,A
1/12/1983,100,A
1/13/1983,100,A
1/14/1983,100,A
1/15/1983,100,A
1/16/1983,108,A
1/17/1983,118,A
1/18/1983,120,A
1/19/1983,117,A
1/20/1983,117,A
1/21/1983,114,A
1/22/1983,96,A
1/23/1983,94,A
1/24/1983,101,A
1/25/1983,119,A
1/26/1983,118,A
1/27/1983,117,A
1/28/1983,120,A
1/29/1983,119,A
1/30/1983,118,A
1/31/1983,116,A
2/1/1983,116,A
2/2/1983,114,A
2/3/1983,107,A
2/4/1983,115,A
2/5/1983,118,A
2/6/1983,115,A
2/7/1983,115,A
2/8/1983,117,A
2/9/1983,123,A
2/10/1983,120,A
2/11/1983,109,A
2/12/1983,89,A
2/13/1983,93,A
2/14/1983,94,A
2/15/1983,92,A
2/16/1983,94,A
2/17/1983,92,A
2/18/1983,90,A
2/19/1983,100,A
2/20/1983,95,A
2/21/1983,93,A
2/22/1983,100,A
2/23/1983,104,A
2/24/1983,108,A
2/25/1983,120,A
2/26/1983,112,A
2/27/1983,105,A
2/28/1983,121,A
3/1/1983,147,A
3/2/1983,161,A
3/3/1983,141,A
3/4/1983,133,A
3/5/1983,181,A
3/6/1983,136,A
3/7/1983,121,A
3/8/1983,126,A
3/9/1983,126,A
3/10/1983,136,A
3/11/1983,147,A
3/12/1983,153,A
3/13/1983,154,A
3/14/1983,262,A
3/15/1983,247,A
3/16/1983,171,A
3/17/1983,166,A
3/18/1983,157,A
3/19/1983,153,A
3/20/1983,142,A
3/21/1983,121,A
3/22/1983,126,A
3/23/1983,125,A
3/24/1983,126,A
3/25/1983,131,A
3/26/1983,122,A
3/27/1983,116,A
3/28/1983,118,A
3/29/1983,118,A
3/30/1983,112,A
3/31/1983,122,A
4/1/1983,123,A
4/2/1983,115,A
4/3/1983,125,A
4/4/1983,123,A
4/5/1983,113,A
4/6/1983,119,A
4/7/1983,127,A
4/8/1983,129,A
4/9/1983,134,A
4/10/1983,130,A
4/11/1983,140,A
4/12/1983,142,A
4/13/1983,127,A
4/14/1983,104,A
4/15/1983,102,A
4/16/1983,105,A
4/17/1983,114,A
4/18/1983,142,A
4/19/1983,203,A
4/20/1983,245,A
4/21/1983,261,A
4/22/1983,253,A
4/23/1983,262,A
4/24/1983,405,A
4/25/1983,594,A
4/26/1983,518,A
4/27/1983,425,A
4/28/1983,396,A
4/29/1983,391,A
4/30/1983,519,A
5/1/1983,440,A
5/2/1983,374,A
5/3/1983,373,A
5/4/1983,437,A
5/5/1983,501,A
5/6/1983,530,A
5/7/1983,434,A
5/8/1983,521,A
5/9/1983,779,A
5/10/1983,1090,A
5/11/1983,1240,A
5/12/1983,736,A
5/13/1983,662,A
5/14/1983,527,A
5/15/1983,510,A
5/16/1983,697,A
5/17/1983,702,A
5/18/1983,599,A
5/19/1983,718,A
5/20/1983,729,A
5/21/1983,702,A
5/22/1983,1060,A
5/23/1983,1160,A
5/24/1983,1540,A
5/25/1983,2100,A
5/26/1983,2720,A
5/27/1983,3070,A
5/28/1983,2700,A
5/29/1983,2630,A
5/30/1983,3100,A
5/31/1983,3460,A
6/1/1983,3430,A
6/2/1983,3930,A
6/3/1983,2770,A
6/4/1983,2550,A
6/5/1983,2770,A
6/6/1983,2260,A
6/7/1983,2190,A
6/8/1983,2430,A
6/9/1983,2450,A
6/10/1983,2510,A
6/11/1983,2560,A
6/12/1983,3700,A
6/13/1983,2750,A
6/14/1983,1710,A
6/15/1983,1420,A
6/16/1983,1620,A
6/17/1983,1960,A
6/18/1983,2270,A
6/19/1983,3660,A
6/20/1983,3800,A
6/21/1983,3960,A
6/22/1983,4060,A
6/23/1983,3900,A
6/24/1983,3900,A
6/25/1983,4100,A
6/26/1983,4000,A
6/27/1983,3700,A
6/28/1983,3500,A
6/29/1983,2900,A
6/30/1983,2500,A
7/1/1983,2000,A
7/2/1983,1700,A
7/3/1983,1500,A
7/4/1983,1300,A
7/5/1983,1200,A
7/6/1983,1100,A
7/7/1983,1000,A
7/8/1983,1100,A
7/9/1983,1100,A
7/10/1983,1100,A
7/11/1983,980,A
7/12/1983,800,A
7/13/1983,650,A
7/14/1983,531,A
7/15/1983,502,A
7/16/1983,466,A
7/17/1983,410,A
