abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified
COLCAMCO,10/01/2000 00:00,,cfs,,,
COLCAMCO,10/02/2000 00:00,,cfs,,,
COLCAMCO,10/03/2000 00:00,,cfs,,,
COLCAMCO,10/04/2000 00:00,,cfs,,,
COLCAMCO,10/05/2000 00:00,,cfs,,,
COLCAMCO,10/06/2000 00:00,,cfs,,,
COLCAMCO,10/07/2000 00:00,,cfs,,,
COLCAMCO,10/08/2000 00:00,,cfs,,,
COLCAMCO,10/09/2000 00:00,,cfs,,,
COLCAMCO,10/10/2000 00:00,,cfs,,,
COLCAMCO,10/11/2000 00:00,,cfs,,,
COLCAMCO,10/12/2000 00:00,,cfs,,,
COLCAMCO,10/13/2000 00:00,,cfs,,,
COLCAMCO,10/14/2000 00:00,,cfs,,,
COLCAMCO,10/15/2000 00:00,,cfs,,,
COLCAMCO,10/16/2000 00:00,,cfs,,,
COLCAMCO,10/17/2000 00:00,,cfs,,,
COLCAMCO,10/18/2000 00:00,,cfs,,,
COLCAMCO,10/19/2000 00:00,,cfs,,,
COLCAMCO,10/20/2000 00:00,,cfs,,,
COLCAMCO,10/21/2000 00:00,,cfs,,,
COLCAMCO,10/22/2000 00:00,,cfs,,,
COLCAMCO,10/23/2000 00:00,,cfs,,,
COLCAMCO,10/24/2000 00:00,,cfs,,,
COLCAMCO,10/25/2000 00:00,,cfs,,,
COLCAMCO,10/26/2000 00:00,,cfs,,,
COLCAMCO,10/27/2000 00:00,,cfs,,,
COLCAMCO,10/28/2000 00:00,,cfs,,,
COLCAMCO,10/29/2000 00:00,,cfs,,,
COLCAMCO,10/30/2000 00:00,,cfs,,,
COLCAMCO,10/31/2000 00:00,,cfs,,,
COLCAMCO,11/01/2000 00:00,,cfs,,,
COLCAMCO,11/02/2000 00:00,,cfs,,,
COLCAMCO,11/03/2000 00:00,,cfs,,,
COLCAMCO,11/04/2000 00:00,,cfs,,,
COLCAMCO,11/05/2000 00:00,,cfs,,,
COLCAMCO,11/06/2000 00:00,,cfs,,,
COLCAMCO,11/07/2000 00:00,,cfs,,,
COLCAMCO,11/08/2000 00:00,,cfs,,,
COLCAMCO,11/09/2000 00:00,,cfs,,,
COLCAMCO,11/10/2000 00:00,,cfs,,,
COLCAMCO,11/11/2000 00:00,,cfs,,,
COLCAMCO,11/12/2000 00:00,,cfs,,,
COLCAMCO,11/13/2000 00:00,,cfs,,,
COLCAMCO,11/14/2000 00:00,,cfs,,,
COLCAMCO,11/15/2000 00:00,,cfs,,,
COLCAMCO,11/16/2000 00:00,,cfs,,,
COLCAMCO,11/17/2000 00:00,,cfs,,,
COLCAMCO,11/18/2000 00:00,,cfs,,,
COLCAMCO,11/19/2000 00:00,,cfs,,,
COLCAMCO,11/20/2000 00:00,,cfs,,,
COLCAMCO,11/21/2000 00:00,,cfs,,,
COLCAMCO,11/22/2000 00:00,,cfs,,,
COLCAMCO,11/23/2000 00:00,,cfs,,,
COLCAMCO,11/24/2000 00:00,,cfs,,,
COLCAMCO,11/25/2000 00:00,,cfs,,,
COLCAMCO,11/26/2000 00:00,,cfs,,,
COLCAMCO,11/27/2000 00:00,,cfs,,,
COLCAMCO,11/28/2000 00:00,,cfs,,,
COLCAMCO,11/29/2000 00:00,,cfs,,,
COLCAMCO,11/30/2000 00:00,,cfs,,,
COLCAMCO,12/01/2000 00:00,,cfs,,,
COLCAMCO,12/02/2000 00:00,,cfs,,,
COLCAMCO,12/03/2000 00:00,,cfs,,,
COLCAMCO,12/04/2000 00:00,,cfs,,,
COLCAMCO,12/05/2000 00:00,,cfs,,,
COLCAMCO,12/06/2000 00:00,,cfs,,,
COLCAMCO,12/07/2000 00:00,,cfs,,,
COLCAMCO,12/08/2000 00:00,,cfs,,,
COLCAMCO,12/09/2000 00:00,,cfs,,,
COLCAMCO,12/10/2000 00:00,,cfs,,,
COLCAMCO,12/11/2000 00:00,,cfs,,,
COLCAMCO,12/12/2000 00:00,,cfs,,,
COLCAMCO,12/13/2000 00:00,,cfs,,,
COLCAMCO,12/14/2000 00:00,,cfs,,,
COLCAMCO,12/15/2000 00:00,,cfs,,,
COLCAMCO,12/16/2000 00:00,,cfs,,,
COLCAMCO,12/17/2000 00:00,,cfs,,,
COLCAMCO,12/18/2000 00:00,,cfs,,,
COLCAMCO,12/19/2000 00:00,,cfs,,,
COLCAMCO,12/20/2000 00:00,,cfs,,,
COLCAMCO,12/21/2000 00:00,,cfs,,,
COLCAMCO,12/22/2000 00:00,,cfs,,,
COLCAMCO,12/23/2000 00:00,,cfs,,,
COLCAMCO,12/24/2000 00:00,,cfs,,,
COLCAMCO,12/25/2000 00:00,,cfs,,,
COLCAMCO,12/26/2000 00:00,,cfs,,,
COLCAMCO,12/27/2000 00:00,,cfs,,,
COLCAMCO,12/28/2000 00:00,,cfs,,,
COLCAMCO,12/29/2000 00:00,,cfs,,,
COLCAMCO,12/30/2000 00:00,,cfs,,,
COLCAMCO,12/31/2000 00:00,,cfs,,,
COLCAMCO,01/01/2001 00:00,,cfs,,,
COLCAMCO,01/02/2001 00:00,,cfs,,,
COLCAMCO,01/03/2001 00:00,,cfs,,,
COLCAMCO,01/04/2001 00:00,,cfs,,,
COLCAMCO,01/05/2001 00:00,,cfs,,,
COLCAMCO,01/06/2001 00:00,,cfs,,,
COLCAMCO,01/07/2001 00:00,,cfs,,,
COLCAMCO,01/08/2001 00:00,,cfs,,,
COLCAMCO,01/09/2001 00:00,,cfs,,,
COLCAMCO,01/10/2001 00:00,,cfs,,,
COLCAMCO,01/11/2001 00:00,,cfs,,,
COLCAMCO,01/12/2001 00:00,,cfs,,,
COLCAMCO,01/13/2001 00:00,,cfs,,,
COLCAMCO,01/14/2001 00:00,,cfs,,,
COLCAMCO,01/15/2001 00:00,,cfs,,,
COLCAMCO,01/16/2001 00:00,,cfs,,,
COLCAMCO,01/17/2001 00:00,,cfs,,,
COLCAMCO,01/18/2001 00:00,,cfs,,,
COLCAMCO,01/19/2001 00:00,,cfs,,,
COLCAMCO,01/20/2001 00:00,,cfs,,,
COLCAMCO,01/21/2001 00:00,,cfs,,,
COLCAMCO,01/22/2001 00:00,,cfs,,,
COLCAMCO,01/23/2001 00:00,,cfs,,,
COLCAMCO,01/24/2001 00:00,,cfs,,,
COLCAMCO,01/25/2001 00:00,,cfs,,,
COLCAMCO,01/26/2001 00:00,,cfs,,,
COLCAMCO,01/27/2001 00:00,,cfs,,,
COLCAMCO,01/28/2001 00:00,,cfs,,,
COLCAMCO,01/29/2001 00:00,,cfs,,,
COLCAMCO,01/30/2001 00:00,,cfs,,,
COLCAMCO,01/31/2001 00:00,,cfs,,,
COLCAMCO,02/01/2001 00:00,,cfs,,,
COLCAMCO,02/02/2001 00:00,,cfs,,,
COLCAMCO,02/03/2001 00:00,,cfs,,,
COLCAMCO,02/04/2001 00:00,,cfs,,,
COLCAMCO,02/05/2001 00:00,,cfs,,,
COLCAMCO,02/06/2001 00:00,,cfs,,,
COLCAMCO,02/07/2001 00:00,,cfs,,,
COLCAMCO,02/08/2001 00:00,,cfs,,,
COLCAMCO,02/09/2001 00:00,,cfs,,,
COLCAMCO,02/10/2001 00:00,,cfs,,,
COLCAMCO,02/11/2001 00:00,,cfs,,,
COLCAMCO,02/12/2001 00:00,,cfs,,,
COLCAMCO,02/13/2001 00:00,,cfs,,,
COLCAMCO,02/14/2001 00:00,,cfs,,,
COLCAMCO,02/15/2001 00:00,,cfs,,,
COLCAMCO,02/16/2001 00:00,,cfs,,,
COLCAMCO,02/17/2001 00:00,,cfs,,,
COLCAMCO,02/18/2001 00:00,,cfs,,,
COLCAMCO,02/19/2001 00:00,,cfs,,,
COLCAMCO,02/20/2001 00:00,,cfs,,,
COLCAMCO,02/21/2001 00:00,,cfs,,,
COLCAMCO,02/22/2001 00:00,,cfs,,,
COLCAMCO,02/23/2001 00:00,,cfs,,,
COLCAMCO,02/24/2001 00:00,,cfs,,,
COLCAMCO,02/25/2001 00:00,,cfs,,,
COLCAMCO,02/26/2001 00:00,,cfs,,,
COLCAMCO,02/27/2001 00:00,,cfs,,,
COLCAMCO,02/28/2001 00:00,,cfs,,,
COLCAMCO,03/01/2001 00:00,,cfs,,,
COLCAMCO,03/02/2001 00:00,,cfs,,,
COLCAMCO,03/03/2001 00:00,,cfs,,,
COLCAMCO,03/04/2001 00:00,,cfs,,,
COLCAMCO,03/05/2001 00:00,,cfs,,,
COLCAMCO,03/06/2001 00:00,,cfs,,,
COLCAMCO,03/07/2001 00:00,,cfs,,,
COLCAMCO,03/08/2001 00:00,,cfs,,,
COLCAMCO,03/09/2001 00:00,,cfs,,,
COLCAMCO,03/10/2001 00:00,,cfs,,,
COLCAMCO,03/11/2001 00:00,,cfs,,,
COLCAMCO,03/12/2001 00:00,,cfs,,,
COLCAMCO,03/13/2001 00:00,,cfs,,,
COLCAMCO,03/14/2001 00:00,,cfs,,,
COLCAMCO,03/15/2001 00:00,,cfs,,,
COLCAMCO,03/16/2001 00:00,,cfs,,,
COLCAMCO,03/17/2001 00:00,,cfs,,,
COLCAMCO,03/18/2001 00:00,,cfs,,,
COLCAMCO,03/19/2001 00:00,,cfs,,,
COLCAMCO,03/20/2001 00:00,,cfs,,,
COLCAMCO,03/21/2001 00:00,,cfs,,,
COLCAMCO,03/22/2001 00:00,,cfs,,,
COLCAMCO,03/23/2001 00:00,,cfs,,,
COLCAMCO,03/24/2001 00:00,,cfs,,,
COLCAMCO,03/25/2001 00:00,,cfs,,,
COLCAMCO,03/26/2001 00:00,,cfs,,,
COLCAMCO,03/27/2001 00:00,,cfs,,,
COLCAMCO,03/28/2001 00:00,,cfs,,,
COLCAMCO,03/29/2001 00:00,,cfs,,,
COLCAMCO,03/30/2001 00:00,,cfs,,,
COLCAMCO,03/31/2001 00:00,,cfs,,,
COLCAMCO,04/01/2001 00:00,1530,cfs,,,09/25/2018 15:15
COLCAMCO,04/02/2001 00:00,1510,cfs,,,09/25/2018 15:15
COLCAMCO,04/03/2001 00:00,1540,cfs,,,09/25/2018 15:15
COLCAMCO,04/04/2001 00:00,1600,cfs,,,09/25/2018 15:15
COLCAMCO,04/05/2001 00:00,1670,cfs,,,09/25/2018 15:15
COLCAMCO,04/06/2001 00:00,1700,cfs,,,09/25/2018 15:15
COLCAMCO,04/07/2001 00:00,1770,cfs,,,09/25/2018 15:15
COLCAMCO,04/08/2001 00:00,1830,cfs,,,09/25/2018 15:15
COLCAMCO,04/09/2001 00:00,1720,cfs,,,09/25/2018 15:15
COLCAMCO,04/10/2001 00:00,1640,cfs,,,09/25/2018 15:15
COLCAMCO,04/11/2001 00:00,,cfs,,,
COLCAMCO,04/12/2001 00:00,1640,cfs,,,09/25/2018 15:15
COLCAMCO,04/13/2001 00:00,1720,cfs,,,09/25/2018 15:15
COLCAMCO,04/14/2001 00:00,1640,cfs,,,09/25/2018 15:15
COLCAMCO,04/15/2001 00:00,1650,cfs,,,09/25/2018 15:15
COLCAMCO,04/16/2001 00:00,1670,cfs,,,09/25/2018 15:15
COLCAMCO,04/17/2001 00:00,1730,cfs,,,09/25/2018 15:15
COLCAMCO,04/18/2001 00:00,1840,cfs,,,09/25/2018 15:15
COLCAMCO,04/19/2001 00:00,2000,cfs,,,09/25/2018 15:15
COLCAMCO,04/20/2001 00:00,2290,cfs,,,09/25/2018 15:15
COLCAMCO,04/21/2001 00:00,2470,cfs,,,09/25/2018 15:15
COLCAMCO,04/22/2001 00:00,2340,cfs,,,09/25/2018 15:15
COLCAMCO,04/23/2001 00:00,2160,cfs,,,09/25/2018 15:15
COLCAMCO,04/24/2001 00:00,1940,cfs,,,09/25/2018 15:15
COLCAMCO,04/25/2001 00:00,1810,cfs,,,09/25/2018 15:15
COLCAMCO,04/26/2001 00:00,1920,cfs,,,09/25/2018 15:15
COLCAMCO,04/27/2001 00:00,2210,cfs,,,09/25/2018 15:15
COLCAMCO,04/28/2001 00:00,2730,cfs,,,09/25/2018 15:15
COLCAMCO,04/29/2001 00:00,2990,cfs,,,09/25/2018 15:15
COLCAMCO,04/30/2001 00:00,2980,cfs,,,09/25/2018 15:15
COLCAMCO,05/01/2001 00:00,3190,cfs,,,09/25/2018 15:15
COLCAMCO,05/02/2001 00:00,3750,cfs,,,09/25/2018 15:15
COLCAMCO,05/03/2001 00:00,4520,cfs,,,09/25/2018 15:15
COLCAMCO,05/04/2001 00:00,4250,cfs,,,09/25/2018 15:15
COLCAMCO,05/05/2001 00:00,4230,cfs,,,09/25/2018 15:15
COLCAMCO,05/06/2001 00:00,3770,cfs,,,09/25/2018 15:15
COLCAMCO,05/07/2001 00:00,3550,cfs,,,09/25/2018 15:15
COLCAMCO,05/08/2001 00:00,3300,cfs,,,09/25/2018 15:15
COLCAMCO,05/09/2001 00:00,3270,cfs,,,09/25/2018 15:15
COLCAMCO,05/10/2001 00:00,3610,cfs,,,09/25/2018 15:15
COLCAMCO,05/11/2001 00:00,3960,cfs,,,09/25/2018 15:15
COLCAMCO,05/12/2001 00:00,4480,cfs,,,09/25/2018 15:15
COLCAMCO,05/13/2001 00:00,5450,cfs,,,09/25/2018 15:15
COLCAMCO,05/14/2001 00:00,6780,cfs,,,09/25/2018 15:15
COLCAMCO,05/15/2001 00:00,7870,cfs,,,09/25/2018 15:15
COLCAMCO,05/16/2001 00:00,8270,cfs,,,09/25/2018 15:15
COLCAMCO,05/17/2001 00:00,8810,cfs,,,09/25/2018 15:15
COLCAMCO,05/18/2001 00:00,9010,cfs,,,09/25/2018 15:15
COLCAMCO,05/19/2001 00:00,8820,cfs,,,09/25/2018 15:15
COLCAMCO,05/20/2001 00:00,9100,cfs,,,09/25/2018 15:15
COLCAMCO,05/21/2001 00:00,9000,cfs,,,09/25/2018 15:15
COLCAMCO,05/22/2001 00:00,7850,cfs,,,09/25/2018 15:15
COLCAMCO,05/23/2001 00:00,6830,cfs,,,09/25/2018 15:15
COLCAMCO,05/24/2001 00:00,6970,cfs,,,09/25/2018 15:15
COLCAMCO,05/25/2001 00:00,7910,cfs,,,09/25/2018 15:15
COLCAMCO,05/26/2001 00:00,8510,cfs,,,09/25/2018 15:15
COLCAMCO,05/27/2001 00:00,8710,cfs,,,09/25/2018 15:15
COLCAMCO,05/28/2001 00:00,8930,cfs,,,09/25/2018 15:15
COLCAMCO,05/29/2001 00:00,9140,cfs,,,09/25/2018 15:15
COLCAMCO,05/30/2001 00:00,8550,cfs,,,09/25/2018 15:15
COLCAMCO,05/31/2001 00:00,8460,cfs,,,09/25/2018 15:15
COLCAMCO,06/01/2001 00:00,8530,cfs,,,09/25/2018 15:15
COLCAMCO,06/02/2001 00:00,8850,cfs,,,09/25/2018 15:15
COLCAMCO,06/03/2001 00:00,9150,cfs,,,09/25/2018 15:15
COLCAMCO,06/04/2001 00:00,8520,cfs,,,09/25/2018 15:15
COLCAMCO,06/05/2001 00:00,7280,cfs,,,09/25/2018 15:15
COLCAMCO,06/06/2001 00:00,6150,cfs,,,09/25/2018 15:15
